LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2015,10.672,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2016,10.757,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2017,10.065,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2018,9.533,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2019,9.834,
AUS,TAXPROPERTY,TOT,PC_TOT_TAX,A,2020,10.074,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1965,1.33,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1966,1.342,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1967,1.353,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1968,1.318,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1969,1.37,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1970,1.255,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1971,1.194,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1972,1.122,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1973,1.057,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1974,1.008,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1975,1.127,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1976,1.13,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1977,1.083,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1978,1.177,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1979,1.136,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1980,1.112,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1981,1.134,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1982,1.055,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1983,1.06,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1984,1.043,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1985,0.988,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1986,0.954,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1987,0.9,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1988,1.024,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1989,1.035,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1990,1.071,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1991,1.089,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1992,1.118,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1993,1.083,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1994,0.654,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1995,0.612,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1996,0.607,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1997,0.576,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1998,0.572,
AUT,TAXPROPERTY,TOT,PC_GDP,A,1999,0.573,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2000,0.565,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2001,0.57,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2002,0.532,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2003,0.545,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2004,0.54,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2005,0.541,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2006,0.564,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2007,0.554,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2008,0.522,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2009,0.525,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2010,0.525,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2011,0.508,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2012,0.554,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2013,0.723,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2014,0.597,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2015,0.571,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2016,0.546,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2017,0.526,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2018,0.545,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2019,0.543,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2020,0.579,
AUT,TAXPROPERTY,TOT,PC_GDP,A,2021,0.633,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1965,3.968,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1966,3.925,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1967,3.968,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1968,3.859,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1969,3.959,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1970,3.737,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1971,3.485,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1972,3.235,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1973,3.032,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1974,2.812,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1975,3.102,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1976,3.121,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1977,2.964,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1978,3.041,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1979,2.982,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1980,2.884,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1981,2.859,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1982,2.746,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1983,2.781,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1984,2.622,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1985,2.443,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1986,2.364,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1987,2.252,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1988,2.563,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1989,2.658,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1990,2.726,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1991,2.74,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1992,2.708,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1993,2.598,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1994,1.568,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1995,1.483,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1996,1.422,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1997,1.327,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1998,1.316,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,1999,1.329,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2000,1.336,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2001,1.3,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2002,1.246,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2003,1.284,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2004,1.287,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2005,1.32,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2006,1.395,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2007,1.365,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2008,1.262,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2009,1.28,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2010,1.283,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2011,1.236,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2012,1.326,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2013,1.695,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2014,1.399,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2015,1.324,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2016,1.308,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2017,1.256,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2018,1.29,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2019,1.275,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2020,1.37,
AUT,TAXPROPERTY,TOT,PC_TOT_TAX,A,2021,1.456,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1965,1.151,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1966,1.156,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1967,1.087,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1968,1.273,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1969,1.223,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1970,5.02,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1971,1.295,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1972,1.309,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1973,1.382,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1974,1.295,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1975,1.231,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1976,1.295,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1977,1.399,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1978,1.463,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1979,1.542,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1980,1.262,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1981,1.195,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1982,1.17,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1983,1.238,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1984,1.258,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1985,1.218,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1986,1.291,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1987,1.399,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1988,1.463,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1989,1.587,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1990,1.575,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1991,1.539,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1992,1.527,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1993,1.685,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1994,1.729,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1995,1.636,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1996,1.781,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1997,1.923,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1998,2.074,
BEL,TAXPROPERTY,TOT,PC_GDP,A,1999,2.062,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2000,2.06,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2001,1.983,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2002,1.972,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2003,2.044,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2004,2.281,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2005,3.023,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2006,3.143,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2007,3.07,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2008,3.06,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2009,2.958,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2010,3.099,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2011,3.175,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2012,3.274,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2013,3.514,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2014,3.537,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2015,3.458,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2016,3.474,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2017,3.459,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2018,3.441,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2019,3.421,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2020,3.419,
BEL,TAXPROPERTY,TOT,PC_GDP,A,2021,3.561,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1965,3.737,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1966,3.513,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1967,3.237,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1968,3.703,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1969,3.538,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1970,15.018,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1971,3.746,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1972,3.805,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1973,3.892,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1974,3.558,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1975,3.162,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1976,3.309,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1977,3.407,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1978,3.514,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1979,3.637,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1980,3.1,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1981,2.915,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1982,2.773,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1983,2.885,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1984,2.883,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1985,2.786,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1986,2.971,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1987,3.173,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1988,3.42,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1989,3.876,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1990,3.805,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1991,3.699,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1992,3.709,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1993,3.953,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1994,4.028,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1995,3.82,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1996,4.109,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1997,4.39,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1998,4.667,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,1999,4.661,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2000,4.698,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2001,4.539,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2002,4.49,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2003,4.717,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2004,5.247,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2005,6.971,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2006,7.273,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2007,7.154,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2008,7.02,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2009,6.926,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2010,7.226,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2011,7.298,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2012,7.386,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2013,7.803,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2014,7.905,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2015,7.838,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2016,8.026,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2017,7.897,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2018,7.853,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2019,8.066,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2020,8.045,
BEL,TAXPROPERTY,TOT,PC_TOT_TAX,A,2021,8.476,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1965,3.564,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1966,3.55,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1967,3.614,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1968,3.694,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1969,3.727,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1970,3.816,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1971,3.651,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1972,3.452,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1973,3.083,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1974,2.925,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1975,2.949,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1976,3.063,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1977,3.141,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1978,3.055,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1979,2.774,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1980,2.76,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1981,2.822,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1982,2.986,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1983,3.092,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1984,3.037,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1985,2.95,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1986,3.03,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1987,2.942,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1988,3.192,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1989,3.349,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1990,3.515,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1991,3.711,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1992,3.901,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1993,3.876,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1994,3.8,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1995,3.692,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1996,3.677,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1997,3.67,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1998,3.706,
CAN,TAXPROPERTY,TOT,PC_GDP,A,1999,3.57,
CAN,TAXPROPERTY,TOT,PC_GDP,A,2000,3.301,
CAN,TAXPROPERTY,TOT,PC_GDP,A,2001,3.664,
